"Cluster_Hier_k5","n","Variable","median","mean"
"1",136,"StromalScore",286.813929160412,285.969827286979
"1",136,"ImmuneScore",449.284857115023,362.22074846056
"1",136,"ESTIMATEScore",788.737059151481,648.190575747539
"1",136,"TumorPurity",0.751301132088637,0.762406383491221
"1",136,"B cell",0.29074257116547,0.367528457535676
"1",136,"Macrophage M1",0.129475638737335,0.147258395393788
"1",136,"Macrophage M2",0,0.000826939535243823
"1",136,"Monocyte",0,0
"1",136,"Neutrophil",0.331192018963027,0.27738222898226
"1",136,"NK cell",0,0.0525129266807496
"1",136,"T cell CD4+ (non-regulatory)",0,0.000909854759138096
"1",136,"T cell CD8+",0.000613565450126965,0.0711823696918914
"1",136,"T cell regulatory (Tregs)",0.0259674900215794,0.0801579399294433
"1",136,"Myeloid dendritic cell",0,0
"1",136,"uncharacterized cell",1.22124532708767e-15,0.00224088749180962
"2",330,"StromalScore",521.871538562187,528.674334710478
"2",330,"ImmuneScore",286.061382772039,278.179097199077
"2",330,"ESTIMATEScore",838.612793023859,806.853431909555
"2",330,"TumorPurity",0.746449239998535,0.748407184727849
"2",330,"B cell",0.29031050938102,0.30772448179413
"2",330,"Macrophage M1",0.1732807015893,0.190042115861912
"2",330,"Macrophage M2",0,0.000909002923073587
"2",330,"Monocyte",0,0
"2",330,"Neutrophil",0.298367135507718,0.291178206442878
"2",330,"NK cell",0,0.0220580554066019
"2",330,"T cell CD4+ (non-regulatory)",0,0.000164184589575015
"2",330,"T cell CD8+",0.0261560315200509,0.0574534909563906
"2",330,"T cell regulatory (Tregs)",0.096453057005476,0.128360857402569
"2",330,"Myeloid dendritic cell",0,0
"2",330,"uncharacterized cell",1.11022302462516e-15,0.00210960462287144
"3",138,"StromalScore",458.873202890334,430.352043880385
"3",138,"ImmuneScore",382.81939467369,385.328173994804
"3",138,"ESTIMATEScore",841.895579296003,815.680217875189
"3",138,"TumorPurity",0.746128762837919,0.747279092271524
"3",138,"B cell",0.27468841427122,0.289263606033087
"3",138,"Macrophage M1",0.186246374304619,0.207912416605056
"3",138,"Macrophage M2",0,0.00253708653791197
"3",138,"Monocyte",0,0
"3",138,"Neutrophil",0.256407022988751,0.24967449906113
"3",138,"NK cell",0,0.0261536192935095
"3",138,"T cell CD4+ (non-regulatory)",0,0.00104957569369938
"3",138,"T cell CD8+",0.00511668656652008,0.0563075634192136
"3",138,"T cell regulatory (Tregs)",0.121229647775128,0.154608424019086
"3",138,"Myeloid dendritic cell",0,3.98844481772543e-05
"3",138,"uncharacterized cell",1.11022302462516e-15,0.0124533248891296
"4",104,"StromalScore",316.104284029117,300.537317712364
"4",104,"ImmuneScore",17.1122889507998,18.0047869594492
"4",104,"ESTIMATEScore",332.289373030706,318.542104671813
"4",104,"TumorPurity",0.793800141432113,0.793997892132538
"4",104,"B cell",0.296867774237807,0.311233376558075
"4",104,"Macrophage M1",0.126382745865562,0.13218105891817
"4",104,"Macrophage M2",0,0.00167212235454987
"4",104,"Monocyte",0,0
"4",104,"Neutrophil",0.35274641447115,0.351861261156366
"4",104,"NK cell",0.0599717742282285,0.0578944061571796
"4",104,"T cell CD4+ (non-regulatory)",0,0.00174192529910987
"4",104,"T cell CD8+",0.0231665178255112,0.0403620486561984
"4",104,"T cell regulatory (Tregs)",0.082217560929201,0.101361820188326
"4",104,"Myeloid dendritic cell",0,0
"4",104,"uncharacterized cell",5.5511151231258e-17,0.00169198071202502
"5",127,"StromalScore",288.164159646873,276.377625296704
"5",127,"ImmuneScore",106.100742065,100.653555184975
"5",127,"ESTIMATEScore",404.765659906388,377.031180481679
"5",127,"TumorPurity",0.787285580781651,0.788687917773075
"5",127,"B cell",0.279050149999524,0.292123290109275
"5",127,"Macrophage M1",0.128537537183174,0.129095969348353
"5",127,"Macrophage M2",0,0.00553216160091087
"5",127,"Monocyte",0,0
"5",127,"Neutrophil",0.35304055146104,0.34679296948801
"5",127,"NK cell",0.0634200323195738,0.0579409526597092
"5",127,"T cell CD4+ (non-regulatory)",0,0.00408239846711202
"5",127,"T cell CD8+",0.0308154508734227,0.043662183636888
"5",127,"T cell regulatory (Tregs)",0.101441362720375,0.116828892262998
"5",127,"Myeloid dendritic cell",0,0
"5",127,"uncharacterized cell",7.7715611723761e-16,0.00394118242674236
