"Variable","KW_stat","KW_df","KW_pvalue","KW_p_BH_across_variables","Significant"
"StromalScore",311.676164658597,4,3.27968623819753e-66,4.59156073347654e-65,"Yes"
"ESTIMATEScore",164.334164182724,4,1.71886242642723e-34,8.02135798999375e-34,"Yes"
"TumorPurity",164.334164182724,4,1.71886242642723e-34,8.02135798999375e-34,"Yes"
"NK cell",130.765717260732,4,2.67079919200145e-27,9.34779717200506e-27,"Yes"
"ImmuneScore",106.151608285412,4,4.81364573348584e-22,1.34782080537603e-21,"Yes"
"Macrophage M1",79.4800415341492,4,2.24465456638466e-16,5.2375273215642e-16,"Yes"
"uncharacterized cell",44.8334874348463,4,4.305845118313e-09,8.611690236626e-09,"Yes"
"T cell regulatory (Tregs)",39.760361235714,4,4.85156114805904e-08,8.49023200910332e-08,"Yes"
"Neutrophil",34.8779524261034,4,4.92136600171781e-07,7.65545822489437e-07,"Yes"
"B cell",11.38057206111,4,0.0226039772790736,0.031645568190703,"Yes"
"T cell CD8+",11.0064435651437,4,0.0264916929263343,0.0337167000880618,"Yes"
"Macrophage M2",6.55498536910779,4,0.161358663517082,0.188251774103263,"No"
"Myeloid dendritic cell",5.05072463777046,4,0.282132318823895,0.303834804887272,"No"
"T cell CD4+ (non-regulatory)",4.20269480227675,4,0.379268554199614,0.379268554199614,"No"
"Monocyte",NA,NA,NA,NA,"No"
