Model,Method,k,ARI,NMI
PCA_40_Malignant,Hierarchical,3,0.2505760353959875,0.44859478628765953
PCA_40_Malignant,Hierarchical,4,0.33448964829082967,0.4797905178948527
PCA_40_Malignant,Hierarchical,5,0.3122723649057988,0.4524677478149149
PCA_40_Malignant,Hierarchical,6,0.28007162516502504,0.4373524563765119
PCA_40_Malignant,Hierarchical,7,0.26125719841116696,0.41052451009154606
PCA_40_Malignant,Hierarchical,8,0.25533876652340826,0.3960550353385068
VAE_Z10_Malignant,Hierarchical,3,0.32170519343953763,0.4051436148605932
VAE_Z10_Malignant,Hierarchical,4,0.38702203315179845,0.4231531309022046
VAE_Z10_Malignant,Hierarchical,5,0.3767387446988667,0.39629014558320785
VAE_Z10_Malignant,Hierarchical,6,0.37372677332638443,0.3884997515798631
VAE_Z10_Malignant,Hierarchical,7,0.3486346905595017,0.3780984140086746
VAE_Z10_Malignant,Hierarchical,8,0.2986052440546807,0.3628673876677105
VAE_Z20_Malignant,Hierarchical,3,0.31368618935321374,0.3417352136218218
VAE_Z20_Malignant,Hierarchical,4,0.21551159279039706,0.3064841348184876
VAE_Z20_Malignant,Hierarchical,5,0.2435431684060624,0.34488363930978966
VAE_Z20_Malignant,Hierarchical,6,0.22925712727156622,0.34031347322538347
VAE_Z20_Malignant,Hierarchical,7,0.20884123134176824,0.317853948126984
VAE_Z20_Malignant,Hierarchical,8,0.20547795457330867,0.31187683573615255
VAE_Z40_Malignant,Hierarchical,3,0.22720509671019254,0.2680978744250963
VAE_Z40_Malignant,Hierarchical,4,0.3210900959844573,0.3984424930653741
VAE_Z40_Malignant,Hierarchical,5,0.3034074704198572,0.37162600555314446
VAE_Z40_Malignant,Hierarchical,6,0.30385444802938827,0.37087171647312994
VAE_Z40_Malignant,Hierarchical,7,0.3014078569945636,0.365660057570205
VAE_Z40_Malignant,Hierarchical,8,0.20697889186479151,0.3513650939227841
