sampleID,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Final_Label
TCGA-C8-A1HL-01,-0.7573141,-2.3479853,-1.1126223,0.7142928,-1.0386957,1.0668994,-0.03514764,1.322759,-1.6268649,2.3093214,LumB
TCGA-EW-A2FS-01,0.40959364,1.8554173,3.9429035,-1.5269837,-0.21004733,1.3912368,2.5604856,-0.9019987,0.7265743,-0.82897747,LumA
TCGA-D8-A1JU-01,4.6055746,1.9685329,-1.4220393,-3.745822,1.9496412,0.47441736,-0.7789249,1.231574,-0.5980602,-2.062607,LumA
TCGA-B6-A0RL-01,-7.2413063,-4.5533123,8.86765,4.5546575,-9.632135,-6.5266247,2.65367,2.7340586,-0.2310494,-3.1004198,LumB
TCGA-E9-A3HO-01,-1.462329,0.9446905,5.2493987,1.1381471,-2.124003,-0.069529876,4.0524526,-1.185488,1.3563426,-1.8784821,LumB
TCGA-BH-A0B0-01,1.6982694,1.1971561,-0.85181665,-1.6226562,1.3423847,2.4621632,0.031497136,0.84023595,-1.4213617,-1.8641269,LumA
TCGA-D8-A1XJ-01,-2.1032221,-2.9775321,-2.7421176,5.3883786,1.8600351,1.586074,1.1423197,0.54976803,-4.343869,0.045887917,Her2
TCGA-E9-A1R4-01,2.9914951,1.7580717,0.86714363,2.5425365,-0.7150869,-2.1247425,2.4443479,3.1737158,-1.5267657,-3.9378257,LumB
TCGA-BH-A0BZ-01,0.59589803,0.32950643,-1.0353093,1.3521007,0.25841054,2.9003794,1.1667235,2.2369318,-0.7306798,-0.6598954,LumB
TCGA-C8-A3M8-01,1.4002179,-1.8777446,1.6356729,0.8855527,-0.62126374,-0.92522097,0.7572949,-0.40000886,0.054002658,-0.94445384,LumB
TCGA-E9-A24A-01,2.1737492,-1.0210736,-1.9362159,-2.0048244,-0.6947997,-0.7218948,-1.2557049,3.6996114,-1.5614395,-2.9588435,LumA
TCGA-D8-A1JB-01,2.5372167,3.3307443,0.67336476,-0.60844237,0.6516728,0.10098341,-0.7403184,0.9454999,0.80270696,-1.4189053,LumA
TCGA-E9-A1N4-01,2.3492823,1.5132014,-1.7248516,-1.5262879,0.12514165,0.8687336,-2.3639784,3.7943099,-0.48708647,-1.0435827,LumA
TCGA-C8-A12X-01,-9.222447,-8.220161,2.2699919,0.41965547,-2.4301906,4.194079,-5.486851,4.8473372,2.5299323,7.838621,LumA
